date,hls_date,gcc_mean,evi,source_file
8/23/2023,8/23/2023,0.4336,0.785925627,goodwater_2023
8/21/2021,8/21/2021,0.4103,0.785813391,goodwaterbau_2021
8/10/2021,8/10/2021,0.41233,0.78393352,goodwaterbau_2021
8/10/2022,8/10/2022,0.41426,0.781698108,goodwaterbau_2022
9/10/2022,9/10/2022,0.41054,0.780850291,goodwaterbau_2022
7/31/2023,7/31/2023,0.43408,0.78082335,ecb1_2023
9/6/2023,9/6/2023,0.40515,0.780470371,goodwater_2023
8/10/2022,8/10/2022,0.40299,0.780289352,ecb4_2022
9/2/2023,9/2/2023,0.41243,0.77984035,ecb1_2023
9/12/2022,9/12/2022,0.38668,0.779288471,ecb4_2022
7/29/2021,7/29/2021,0.40507,0.778918386,arsope3ltar_2021
9/5/2022,9/5/2022,0.39726,0.778912842,mead1_2022
7/5/2023,7/5/2023,0.40187,0.778831124,arsltarucbec1_2023
8/22/2021,8/22/2021,0.41572,0.778270304,goodwaterbau_2021
8/22/2023,8/22/2023,0.42692,0.778187096,goodwater_2023
7/4/2023,7/4/2023,0.39894,0.778185487,arsltarucbec1_2023
9/24/2023,9/24/2023,0.40762,0.778092384,arsope3ltar_2023
7/6/2023,7/6/2023,0.40989,0.778003633,arsltarucbec1_2023
8/14/2023,8/14/2023,0.42402,0.777837515,arsltarucbec1_2023
8/11/2023,8/11/2023,0.40001,0.777760923,arsope3ltar_2023
8/9/2022,8/9/2022,0.41673,0.776905537,goodwaterbau_2022
9/6/2022,9/6/2022,0.40798,0.77641952,arsbrooks10_2022
8/9/2021,8/9/2021,0.41951,0.7763502,goodwaterbau_2021
9/9/2021,9/9/2021,0.38937,0.776239097,arsope3ltar_2021
7/3/2023,7/3/2023,0.40081,0.775962651,arsltarucbec1_2023
7/7/2023,7/7/2023,0.41293,0.774912179,arsltarucbec1_2023
7/23/2021,7/23/2021,0.39015,0.774240136,arsltarucbec1_2021
7/24/2021,7/24/2021,0.39396,0.774191141,arsltarucbec1_2021
7/24/2022,7/24/2022,0.41186,0.773919523,mead1_2022
7/22/2021,7/22/2021,0.39248,0.77335465,arsltarucbec1_2021
8/24/2022,8/24/2022,0.39203,0.773279846,arsltarmdcr_2022
7/25/2021,7/25/2021,0.39431,0.773256361,arsltarucbec1_2021
8/23/2022,8/23/2022,0.38968,0.772835016,arsltarmdcr_2022
8/24/2023,8/24/2023,0.40185,0.772745907,ecb4_2023
8/25/2022,8/25/2022,0.39159,0.772626758,arsltarmdcr_2022
7/2/2023,7/2/2023,0.39603,0.772560835,arsltarucbec1_2023
7/21/2021,7/21/2021,0.39257,0.772505522,arsltarucbec1_2021
